"","Month","Count","linear","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","predict"
"49","2015-01",2839,49,1,0,0,0,0,0,0,0,0,0,0,0,2789.54563492064
"50","2015-02",1880,50,0,1,0,0,0,0,0,0,0,0,0,0,2276.97420634921
"51","2015-03",2476,51,0,0,1,0,0,0,0,0,0,0,0,0,2587.83134920635
"52","2015-04",2940,52,0,0,0,1,0,0,0,0,0,0,0,0,2768.68849206349
"53","2015-05",3390,53,0,0,0,0,1,0,0,0,0,0,0,0,3230.58035714286
"54","2015-06",3429,54,0,0,0,0,0,1,0,0,0,0,0,0,3302.24702380952
"55","2015-07",3625,55,0,0,0,0,0,0,1,0,0,0,0,0,3459.24702380952
"56","2015-08",3514,56,0,0,0,0,0,0,0,1,0,0,0,0,3445.08035714286
"57","2015-09",3261,57,0,0,0,0,0,0,0,0,1,0,0,0,3343.91369047619
"58","2015-10",3414,58,0,0,0,0,0,0,0,0,0,1,0,0,3506.08035714286
"59","2015-11",3104,59,0,0,0,0,0,0,0,0,0,0,1,0,3125.91369047619
"60","2015-12",3161,60,0,0,0,0,0,0,0,0,0,0,0,1,3034.74702380952
