"","Month","Count","linear","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","predict"
"37","2014-01",2834,37,1,0,0,0,0,0,0,0,0,0,0,0,2735.71428571429
"38","2014-02",2173,38,0,1,0,0,0,0,0,0,0,0,0,0,2223.14285714286
"39","2014-03",2447,39,0,0,1,0,0,0,0,0,0,0,0,0,2534
"40","2014-04",2769,40,0,0,0,1,0,0,0,0,0,0,0,0,2714.85714285714
"41","2014-05",3247,41,0,0,0,0,1,0,0,0,0,0,0,0,3176.74900793651
"42","2014-06",3346,42,0,0,0,0,0,1,0,0,0,0,0,0,3248.41567460317
"43","2014-07",3740,43,0,0,0,0,0,0,1,0,0,0,0,0,3405.41567460317
"44","2014-08",3831,44,0,0,0,0,0,0,0,1,0,0,0,0,3391.24900793651
"45","2014-09",3673,45,0,0,0,0,0,0,0,0,1,0,0,0,3290.08234126984
"46","2014-10",3847,46,0,0,0,0,0,0,0,0,0,1,0,0,3452.24900793651
"47","2014-11",3288,47,0,0,0,0,0,0,0,0,0,0,1,0,3072.08234126984
"48","2014-12",2934,48,0,0,0,0,0,0,0,0,0,0,0,1,2980.91567460317
