"","Month","Count","linear","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","predict"
"1","2011-01",2220,1,1,0,0,0,0,0,0,0,0,0,0,0,2574.22023809524
"2","2011-02",2133,2,0,1,0,0,0,0,0,0,0,0,0,0,2061.64880952381
"3","2011-03",2546,3,0,0,1,0,0,0,0,0,0,0,0,0,2372.50595238095
"4","2011-04",2452,4,0,0,0,1,0,0,0,0,0,0,0,0,2553.36309523809
"5","2011-05",2844,5,0,0,0,0,1,0,0,0,0,0,0,0,3015.25496031746
"6","2011-06",2944,6,0,0,0,0,0,1,0,0,0,0,0,0,3086.92162698413
"7","2011-07",3059,7,0,0,0,0,0,0,1,0,0,0,0,0,3243.92162698413
"8","2011-08",2966,8,0,0,0,0,0,0,0,1,0,0,0,0,3229.75496031746
"9","2011-09",2963,9,0,0,0,0,0,0,0,0,1,0,0,0,3128.58829365079
"10","2011-10",3255,10,0,0,0,0,0,0,0,0,0,1,0,0,3290.75496031746
"11","2011-11",2970,11,0,0,0,0,0,0,0,0,0,0,1,0,2910.58829365079
"12","2011-12",2927,12,0,0,0,0,0,0,0,0,0,0,0,1,2819.42162698413
