Month,Count,linear,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
2011-01,2220,1,1,0,0,0,0,0,0,0,0,0,0,0
2011-02,2133,2,0,1,0,0,0,0,0,0,0,0,0,0
2011-03,2546,3,0,0,1,0,0,0,0,0,0,0,0,0
2011-04,2452,4,0,0,0,1,0,0,0,0,0,0,0,0
2011-05,2844,5,0,0,0,0,1,0,0,0,0,0,0,0
2011-06,2944,6,0,0,0,0,0,1,0,0,0,0,0,0
2011-07,3059,7,0,0,0,0,0,0,1,0,0,0,0,0
2011-08,2966,8,0,0,0,0,0,0,0,1,0,0,0,0
2011-09,2963,9,0,0,0,0,0,0,0,0,1,0,0,0
2011-10,3255,10,0,0,0,0,0,0,0,0,0,1,0,0
2011-11,2970,11,0,0,0,0,0,0,0,0,0,0,1,0
2011-12,2927,12,0,0,0,0,0,0,0,0,0,0,0,1
2012-01,2936,13,1,0,0,0,0,0,0,0,0,0,0,0
2012-02,2392,14,0,1,0,0,0,0,0,0,0,0,0,0
2012-03,2474,15,0,0,1,0,0,0,0,0,0,0,0,0
2012-04,2559,16,0,0,0,1,0,0,0,0,0,0,0,0
2012-05,2937,17,0,0,0,0,1,0,0,0,0,0,0,0
2012-06,2989,18,0,0,0,0,0,1,0,0,0,0,0,0
2012-07,3245,19,0,0,0,0,0,0,1,0,0,0,0,0
2012-08,3396,20,0,0,0,0,0,0,0,1,0,0,0,0
2012-09,3095,21,0,0,0,0,0,0,0,0,1,0,0,0
2012-10,3246,22,0,0,0,0,0,0,0,0,0,1,0,0
2012-11,2874,23,0,0,0,0,0,0,0,0,0,0,1,0
2012-12,2883,24,0,0,0,0,0,0,0,0,0,0,0,1
2013-01,2755,25,1,0,0,0,0,0,0,0,0,0,0,0
2013-02,2217,26,0,1,0,0,0,0,0,0,0,0,0,0
2013-03,2617,27,0,0,1,0,0,0,0,0,0,0,0,0
2013-04,2715,28,0,0,0,1,0,0,0,0,0,0,0,0
2013-05,3170,29,0,0,0,0,1,0,0,0,0,0,0,0
2013-06,3218,30,0,0,0,0,0,1,0,0,0,0,0,0
2013-07,3172,31,0,0,0,0,0,0,1,0,0,0,0,0
2013-08,3311,32,0,0,0,0,0,0,0,1,0,0,0,0
2013-09,3342,33,0,0,0,0,0,0,0,0,1,0,0,0
2013-10,3285,34,0,0,0,0,0,0,0,0,0,1,0,0
2013-11,2935,35,0,0,0,0,0,0,0,0,0,0,1,0
2013-12,2885,36,0,0,0,0,0,0,0,0,0,0,0,1
2014-01,2834,37,1,0,0,0,0,0,0,0,0,0,0,0
2014-02,2173,38,0,1,0,0,0,0,0,0,0,0,0,0
2014-03,2447,39,0,0,1,0,0,0,0,0,0,0,0,0
2014-04,2769,40,0,0,0,1,0,0,0,0,0,0,0,0
2014-05,3247,41,0,0,0,0,1,0,0,0,0,0,0,0
2014-06,3346,42,0,0,0,0,0,1,0,0,0,0,0,0
2014-07,3740,43,0,0,0,0,0,0,1,0,0,0,0,0
2014-08,3831,44,0,0,0,0,0,0,0,1,0,0,0,0
2014-09,3673,45,0,0,0,0,0,0,0,0,1,0,0,0
2014-10,3847,46,0,0,0,0,0,0,0,0,0,1,0,0
2014-11,3288,47,0,0,0,0,0,0,0,0,0,0,1,0
2014-12,2934,48,0,0,0,0,0,0,0,0,0,0,0,1
2015-01,2839,49,1,0,0,0,0,0,0,0,0,0,0,0
2015-02,1880,50,0,1,0,0,0,0,0,0,0,0,0,0
2015-03,2476,51,0,0,1,0,0,0,0,0,0,0,0,0
2015-04,2940,52,0,0,0,1,0,0,0,0,0,0,0,0
2015-05,3390,53,0,0,0,0,1,0,0,0,0,0,0,0
2015-06,3429,54,0,0,0,0,0,1,0,0,0,0,0,0
2015-07,3625,55,0,0,0,0,0,0,1,0,0,0,0,0
2015-08,3514,56,0,0,0,0,0,0,0,1,0,0,0,0
2015-09,3261,57,0,0,0,0,0,0,0,0,1,0,0,0
2015-10,3414,58,0,0,0,0,0,0,0,0,0,1,0,0
2015-11,3104,59,0,0,0,0,0,0,0,0,0,0,1,0
2015-12,3161,60,0,0,0,0,0,0,0,0,0,0,0,1
2016-01,2574,61,1,0,0,0,0,0,0,0,0,0,0,0
2016-02,2395,62,0,1,0,0,0,0,0,0,0,0,0,0
2016-03,2889,63,0,0,1,0,0,0,0,0,0,0,0,0
2016-04,2936,64,0,0,0,1,0,0,0,0,0,0,0,0
2016-05,3311,65,0,0,0,0,1,0,0,0,0,0,0,0
2016-06,3403,66,0,0,0,0,0,1,0,0,0,0,0,0
2016-07,3430,67,0,0,0,0,0,0,1,0,0,0,0,0
2016-08,3168,68,0,0,0,0,0,0,0,1,0,0,0,0
2016-09,3245,69,0,0,0,0,0,0,0,0,1,0,0,0
2016-10,3505,70,0,0,0,0,0,0,0,0,0,1,0,0
2016-11,3100,71,0,0,0,0,0,0,0,0,0,0,1,0
2016-12,2934,72,0,0,0,0,0,0,0,0,0,0,0,1
2017-01,2992,73,1,0,0,0,0,0,0,0,0,0,0,0
2017-02,2372,74,0,1,0,0,0,0,0,0,0,0,0,0
2017-03,2289,75,0,0,1,0,0,0,0,0,0,0,0,0
2017-04,2633,76,0,0,0,1,0,0,0,0,0,0,0,0
