"","Month","Count","linear","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","predict"
"61","2016-01",2574,61,1,0,0,0,0,0,0,0,0,0,0,0,2843.37698412698
"62","2016-02",2395,62,0,1,0,0,0,0,0,0,0,0,0,0,2330.80555555556
"63","2016-03",2889,63,0,0,1,0,0,0,0,0,0,0,0,0,2641.6626984127
"64","2016-04",2936,64,0,0,0,1,0,0,0,0,0,0,0,0,2822.51984126984
"65","2016-05",3311,65,0,0,0,0,1,0,0,0,0,0,0,0,3284.41170634921
"66","2016-06",3403,66,0,0,0,0,0,1,0,0,0,0,0,0,3356.07837301587
"67","2016-07",3430,67,0,0,0,0,0,0,1,0,0,0,0,0,3513.07837301587
"68","2016-08",3168,68,0,0,0,0,0,0,0,1,0,0,0,0,3498.91170634921
"69","2016-09",3245,69,0,0,0,0,0,0,0,0,1,0,0,0,3397.74503968254
"70","2016-10",3505,70,0,0,0,0,0,0,0,0,0,1,0,0,3559.91170634921
"71","2016-11",3100,71,0,0,0,0,0,0,0,0,0,0,1,0,3179.74503968254
"72","2016-12",2934,72,0,0,0,0,0,0,0,0,0,0,0,1,3088.57837301587
