"","Month","Count","linear","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","predict"
"25","2013-01",2755,25,1,0,0,0,0,0,0,0,0,0,0,0,2681.88293650794
"26","2013-02",2217,26,0,1,0,0,0,0,0,0,0,0,0,0,2169.31150793651
"27","2013-03",2617,27,0,0,1,0,0,0,0,0,0,0,0,0,2480.16865079365
"28","2013-04",2715,28,0,0,0,1,0,0,0,0,0,0,0,0,2661.02579365079
"29","2013-05",3170,29,0,0,0,0,1,0,0,0,0,0,0,0,3122.91765873016
"30","2013-06",3218,30,0,0,0,0,0,1,0,0,0,0,0,0,3194.58432539682
"31","2013-07",3172,31,0,0,0,0,0,0,1,0,0,0,0,0,3351.58432539682
"32","2013-08",3311,32,0,0,0,0,0,0,0,1,0,0,0,0,3337.41765873016
"33","2013-09",3342,33,0,0,0,0,0,0,0,0,1,0,0,0,3236.25099206349
"34","2013-10",3285,34,0,0,0,0,0,0,0,0,0,1,0,0,3398.41765873016
"35","2013-11",2935,35,0,0,0,0,0,0,0,0,0,0,1,0,3018.25099206349
"36","2013-12",2885,36,0,0,0,0,0,0,0,0,0,0,0,1,2927.08432539683
