"","Month","Count","linear","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","predict"
"13","2012-01",2936,13,1,0,0,0,0,0,0,0,0,0,0,0,2628.05158730159
"14","2012-02",2392,14,0,1,0,0,0,0,0,0,0,0,0,0,2115.48015873016
"15","2012-03",2474,15,0,0,1,0,0,0,0,0,0,0,0,0,2426.3373015873
"16","2012-04",2559,16,0,0,0,1,0,0,0,0,0,0,0,0,2607.19444444444
"17","2012-05",2937,17,0,0,0,0,1,0,0,0,0,0,0,0,3069.08630952381
"18","2012-06",2989,18,0,0,0,0,0,1,0,0,0,0,0,0,3140.75297619048
"19","2012-07",3245,19,0,0,0,0,0,0,1,0,0,0,0,0,3297.75297619048
"20","2012-08",3396,20,0,0,0,0,0,0,0,1,0,0,0,0,3283.58630952381
"21","2012-09",3095,21,0,0,0,0,0,0,0,0,1,0,0,0,3182.41964285714
"22","2012-10",3246,22,0,0,0,0,0,0,0,0,0,1,0,0,3344.58630952381
"23","2012-11",2874,23,0,0,0,0,0,0,0,0,0,0,1,0,2964.41964285714
"24","2012-12",2883,24,0,0,0,0,0,0,0,0,0,0,0,1,2873.25297619048
